,School,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TOV,opp_DRB,opp_EFG%
4,Alabama-Birmingham 2015,883,2083,217,469,685,435,476,834,0.476
7,Albany (NY) 2015,697,1657,250,352,502,274,408,690,0.496
12,Arizona 2015,777,1951,206,508,728,285,523,780,0.451
16,Arkansas 2015,869,2031,223,564,789,433,567,848,0.483
21,Baylor 2015,738,1836,196,376,583,376,410,676,0.455
22,Belmont 2015,854,1889,238,384,539,330,418,750,0.515
25,Boise State 2015,730,1754,195,390,558,279,430,751,0.472
30,Brigham Young 2015,894,2052,218,555,793,370,456,815,0.489
34,Buffalo 2015,795,1881,235,428,645,367,448,796,0.485
35,Butler 2015,740,1785,187,406,595,281,431,768,0.467
41,UC-Irvine 2015,739,1878,184,451,650,382,384,762,0.442
55,Cincinnati 2015,700,1804,192,306,470,380,409,645,0.441
59,Coastal Carolina 2015,724,1831,242,431,616,317,403,746,0.461
70,Davidson 2015,814,1838,181,412,646,351,370,781,0.492
71,Dayton 2015,795,1901,206,394,582,344,489,840,0.472
79,Duke 2015,962,2281,199,379,548,428,481,799,0.465
86,Eastern Washington 2015,901,2001,279,507,708,363,431,822,0.52
103,Georgetown 2015,698,1716,220,537,756,352,438,704,0.471
105,Georgia State 2015,709,1826,251,515,721,416,535,750,0.457
107,Georgia 2015,733,1882,207,451,645,358,365,759,0.444
108,Gonzaga 2015,841,2154,217,444,667,403,429,754,0.441
112,Hampton 2015,795,1924,197,600,876,392,491,893,0.464
114,Harvard 2015,614,1519,164,335,497,280,386,649,0.458
129,Indiana 2015,900,1986,196,442,651,374,364,748,0.503
131,Iowa State 2015,866,2081,248,366,499,377,440,819,0.476
132,Iowa 2015,754,1903,227,384,553,371,417,765,0.456
140,Kansas 2015,825,2084,210,473,704,434,421,793,0.446
143,Kentucky 2015,750,2116,175,443,672,463,533,752,0.396
145,Lafayette 2015,886,1921,274,363,521,378,362,712,0.533
155,Louisiana State 2015,824,2052,185,400,604,438,450,781,0.447
157,Louisville 2015,767,1958,189,431,652,400,506,856,0.44
162,Manhattan 2015,736,1683,148,614,880,357,545,771,0.481
168,Maryland 2015,800,2026,242,376,570,399,391,771,0.455
176,Michigan State 2015,833,2104,224,592,820,378,416,869,0.449
183,Mississippi 2015,762,1885,270,532,777,391,430,806,0.476
200,New Mexico State 2015,754,1774,129,396,572,339,448,644,0.461
211,North Carolina State 2015,827,2052,212,501,712,402,349,845,0.455
213,North Carolina 2015,889,2232,247,591,843,460,468,790,0.454
214,North Dakota State 2015,727,1726,213,388,525,248,347,795,0.483
216,North Florida 2015,879,2033,176,451,666,400,425,787,0.476
218,Northeastern 2015,875,1952,193,336,488,291,349,689,0.498
222,Northern Iowa 2015,684,1732,211,333,468,301,391,690,0.456
226,Notre Dame 2015,946,2214,227,380,533,435,425,808,0.479
228,Ohio State 2015,790,1959,238,384,545,401,503,767,0.464
230,Oklahoma State 2015,675,1673,183,478,697,352,438,747,0.458
231,Oklahoma 2015,794,2057,225,383,585,432,468,845,0.441
235,Oregon 2015,902,2136,232,514,739,418,413,834,0.477
246,Providence 2015,760,1804,218,489,709,334,442,759,0.482
247,Purdue 2015,749,1868,200,497,717,376,394,711,0.454
254,Robert Morris 2015,837,1941,241,482,730,446,512,816,0.493
265,San Diego State 2015,716,1864,181,326,469,351,470,801,0.433
286,Southern Methodist 2015,691,1815,268,382,562,357,441,659,0.455
292,St. John's (NY) 2015,793,1948,230,424,649,444,436,849,0.466
294,Stephen F. Austin 2015,730,1665,155,571,821,316,587,678,0.485
310,Texas Southern 2015,882,1983,193,429,656,422,431,772,0.493
313,Texas 2015,702,1910,204,441,665,372,303,691,0.421
319,UCLA 2015,855,2054,281,462,664,371,438,862,0.485
322,Utah 2015,704,1832,169,422,617,342,408,698,0.43
323,Valparaiso 2015,689,1802,228,415,589,323,415,717,0.446
326,Villanova 2015,797,1964,193,406,597,392,508,771,0.455
327,Virginia Commonwealth 2015,822,1892,229,495,716,367,577,952,0.495
330,Virginia 2015,622,1697,191,314,486,280,359,689,0.423
336,West Virginia 2015,762,1626,191,623,903,312,678,857,0.527
341,Wichita State 2015,691,1721,187,439,634,304,464,773,0.456
344,Wisconsin 2015,896,2092,202,333,469,297,378,809,0.477
345,Wofford 2015,737,1763,173,442,629,300,445,789,0.467
347,Wyoming 2015,715,1775,219,325,462,298,377,754,0.465
348,Xavier 2015,886,2035,261,459,678,345,464,800,0.5
